AÑO,DEPARTAMENTO,MUNICIPO,TOTAL MUESTRAS,RESULTADO COLOR APARENTE,RESULTADO TURBIEDAD,RESULTADO PH,RESULTADO CLORO RESIDUAL LIBRE,RESULTADO ALCALINIDAD TOTAL,RESULTADO CALCIO,RESULTADO FOSFATOS,RESULTADO MANGANESO,RESULTADO MOLIBDENO,RESULTADO MAGNESIO,RESULTADO ZINC,RESULTADO DUREZA TOTAL,RESULTADO SULFATOS,RESULTADO HIERRO TOTAL,RESULTADO CLORUROS,RESULTADO NITRATOS,RESULTADO NITRITOS,RESULTADO ALUMINIO,RESULTADO FLORUROS,RESULTADO COT,RESULTADO COLIFORMES TOTALES,RESULTADO E.COLI,RESULTADO ANTIMONIO,RESULTADO ARSÉNICO,RESULTADO BARIO,RESULTADO CADMIO,RESULTADO CIANURO LIBRE Y DIASOCIABLE,RESULTADO COBRE,RESULTADO Cromo total,RESULTADO MERCURIO,RESULTADO NIQUEL,RESULTADO PLOMO,RESULTADO SELENIO,RESULTADO TRIHALOMETANOS TOTALES,RESULTADO HIDROCARBUROS AROMÁTICOS POLICICLICOS,RESULTADO GIARDIA,RESULTADO CRYPTOSPORIDIUM,RESULTADO PLAGUICIDAS TOTALES,RESULTADO ORGANOFOSFORADOS Y CARBAMATOS,RESULTADO MESÓFILOS,IRCA PROMEDIO,IRCA BASE PROMEDIO,NIVEL DE RIESGO PROMEDIO
2015,Antioquia,Betulia,27,4.545454545,0.3065,7.235185185,0.988888889,,,,,,,,,,,,,,,0.038,1,0.038461538,0,,,,,,,,,,,,,,,,,,,0.982962,0.982962,SIN RIESGO
2015,Antioquia,Briceño,27,2.837777778,0.606888889,7.033333333,0.9,10.23333333,,,,,,,8.146666667,,0.032666667,1.130333333,,,0.054666667,,0.654,0,0,,,,,,,,,,,,,,,,,,,0.653333,0.653333,SIN RIESGO
2015,Antioquia,Buriticá,25,4.777777778,0.4639,7.7344,1.48,,,,,,,,,,,,,,,,,0,0,,,,,0.05,,,0.0008,,,,,,,,,,,0.774,0.774,SIN RIESGO
2015,Antioquia,Cáceres,21,8.666666667,0.490888889,7.382857143,0.95,,,,,,,,,,,,,,,,,23.04761905,2.80952381,,,,,0.049,,,0.001,,,,,,,,,,,17.908095,17.908095,MEDIO
2015,Antioquia,Caicedo,24,5,0.373571429,7.541666667,0.995652174,,,,,,,,,,,,,,,,,3.375,3.375,,,,,,,,,,,,,,,,,,,4.166666,4.166666,SIN RIESGO
2015,Antioquia,Caldas,128,1.743253012,0.856987952,7.186021505,0.967368421,42.14791667,,,,,,,47.79166667,5.043333333,0.045833333,6.743958333,,0.0501875,,,,0.650406504,0,,,,,,,,,,,,,,,,,,9.4,0.506015,0.506015,SIN RIESGO
2015,Antioquia,Campamento,28,5.615,0.591363636,6.957142857,1.089285714,20.56666667,,,,,,,17.83333333,,0.032,1.543,,,0.086333333,,1.939,0,0,,,,,,,,,,,,,,,,,,,0.276428,0.276428,SIN RIESGO
2015,Antioquia,Cañasgordas,28,3.666666667,0.159666667,6.939285714,0.95,,,,,,,,,,,,,,,,,5.678571429,0,,,,,,,,,,,,,,,,,,,2.764285,2.764285,SIN RIESGO
2015,Antioquia,Caracolí,27,4.72875,0.571222222,6.488888889,1.22962963,8.75,,,,,,,12.75,,0.0715,1.735,,,0.138,,0.645,0.111111111,0,,,,,,,,,,,,,,,,,,,3.81,3.81,SIN RIESGO
2015,Antioquia,Caramanta,26,4.777777778,0.315555556,7.242307692,1.230769231,25.3,,,,,,,26.25,,0.061,1.66,,,0.2085,0.022,2.01,0,0,,,,,,,,,,,,,,,,,,,0.135384,0.135384,SIN RIESGO
2015,Antioquia,Carepa,43,3.34,0.9995,7.7925,1.275,83.46,,,,,,,94.185,,0.25,6.08,,,0.11,,1.08,0,0,,,,,,,,,,,,,,,,,,,0,0,SIN RIESGO
2015,Antioquia,Carolina,29,3.937777778,1.0686,6.810344828,1.151724138,5.213333333,,,,,,,5.893333333,,0.030333333,1.12,,,0.101666667,,0.681,0,0,,,,,,,,,,,,,,,,,,,1.455862,1.455862,SIN RIESGO
2015,Antioquia,Caucasia,70,5.176470588,0.601647059,7.678571429,1.122,8,,,,,,,22.85,,0.0955,3.49,,,0.239,,,0.585714286,0,,,,,,,,,,,,,,,,,,,1.689285,1.689285,SIN RIESGO
2015,Antioquia,Chigorodó,49,2.619047619,0.916666667,7.604081633,1.165306122,139.855,,,,,,,120.36,,0.42,15.555,,,0.03,,0.69,0,0,,,,,,,,,,,,,,,,,,,0.035918,0.035918,SIN RIESGO
2015,Antioquia,Cisneros,88,69.38157143,10.41497183,7.310227273,0,,,,,,,,,,,,,,,,1.649125,16808.01136,448.5113636,,,,,,,,,,,,,,,,,,,88.397386,88.397386,INVIABLE SANITARIAMENTE
2015,Antioquia,Ciudad Bolívar,77,7.209302326,2.621190476,7.16012987,1.064935065,7.313333333,,,,,,,16.26666667,,0.100666667,6.15,,,0.330666667,0.023666667,1.24,2.168831169,2.103896104,,,,,,,,,,,,,,,,,,,4.018961,4.018961,SIN RIESGO
2015,Antioquia,Cocorná,27,7.4577,0.835,7.038461538,1.192307692,15.44666667,,,,,,,16.87,,0.18625,6.055,,,0.1795,0.035,4,3.962962963,0.148148148,,,,,,,,,,,,,,,,,,,6.3,6.3,BAJO
2015,Antioquia,Concepción,27,1.965555556,0.096,6.7,1.014814815,10.2525,,,,,,,12.0125,,0.117666667,3.5625,,,0.172,0.035,4,0,0,,,,,,,,,,,,,,,,,,,0.13037,0.13037,SIN RIESGO
2015,Antioquia,Concordia,24,10.625,0.895142857,7.059565217,0.960869565,,,,,,,,,,,,,,,0.01,,1.333333333,0.041666667,,,,,,,,,,,,,,,,,,,4.078333,4.078333,SIN RIESGO
2015,Antioquia,Copacabana,52,5.607843137,0.448039216,7.719230769,0.713461538,30.84285714,,,,,,,39.25,,0.048214286,13.296,,,0.0705,0.1,1.1,0.076923077,0,,,,,,,,,,,,,,,,,,,0.74423,0.74423,SIN RIESGO
2015,Antioquia,Dabeiba,49,3.5,0.584333333,7.618163265,1.055102041,,,,,,,,,,,,,,,,,6.770833333,0,,,,,,,,,,,,,,,,,,,2.414693,2.414693,SIN RIESGO
2015,Antioquia,Don Matías,27,4.441111111,0.6137,6.851851852,1.040740741,9.575,,,,,,,15.11,,0.0235,1.075,,,0.0645,,1.184,0,0,,,,,,,,,,,,,,,,,,,0.653333,0.653333,SIN RIESGO
2015,Antioquia,Ebéjico,18,5,0.567714286,7.394444444,1.361111111,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,0,0,SIN RIESGO
2015,Antioquia,El Bagre,34,5.470588235,0.7495625,6.849117647,1.56875,,,,,,,,,,,,,,,,,2.941176471,0.029411765,,,,,0.049333333,,,0.000933333,,,,,,,,,,,3.225294,3.225294,SIN RIESGO
2015,Antioquia,El Carmen De Viboral,49,4.299,0.385714286,6.877777778,0.769555556,11.97333333,,,,,,,13,,0.162666667,4.08,,,0.1755,,,1.693877551,0.102040816,,,,,,,,,,,,,,,,,,,1.125102,1.125102,SIN RIESGO
2015,Antioquia,El Santuario,85,10.94078947,0.89952381,6.871764706,1.271411765,16.28666667,,,,,,,22.91666667,,0.101,9.153333333,,,0.118333333,0.136666667,4,0.682352941,0,,,,,,,,,,,,,,,,,,,2.837058,2.837058,SIN RIESGO
2015,Antioquia,Entrerrios,29,17.44545455,2.029636364,6.572413793,1.313793103,7.56,,,,,,,9.9575,,0.49675,5.1625,,,0.118,,2.786,0,0,,,,,,,,,,,,,,,,,,,7.700344,7.700344,BAJO
2015,Antioquia,Envigado,24,1.516666667,0.872222222,6.838888889,0.966666667,19.05,,,,,,,43.5,4.244285714,0.04,9.415,2,0.06,,,,0,0,,,,,,,,,,,,,,,,,,0,0,0,SIN RIESGO
2015,Antioquia,Fredonia,26,4.3,0.2883,7.254615385,0.966153846,,,,,,,,,,,,,,,0.01,1,0,0,,,,,,,,,,,,,,,,,,,0,0,SIN RIESGO
2015,Antioquia,Frontino,51,5.1875,1.275470588,7.034509804,0.815686275,,,,,,,,,,,,,,,,,2.411764706,0,,,,,,,,,,,,,,,,,,,1.810392,1.810392,SIN RIESGO
2015,Antioquia,Giraldo,25,4.222222222,0.1944,7.654,1.012,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,1.0616,1.0616,SIN RIESGO
2015,Antioquia,Girardota,44,1.99962963,0.918518519,7.055185185,0.864444444,24,,,,,,,34,6.905,0.05,14.95,0.2,0.07,0.1,0.29,2.2,0,0,,,,,,,,,,,,,,,,,,,0,0,SIN RIESGO
2015,Antioquia,Gómez Plata,29,3.975555556,1.2401,6.534482759,1.037931034,3.9125,,,,,,,4.065,,0.037,0.615,,,0.065,,0.793,0,0,,,,,,,,,,,,,,,,,,,0.667241,0.667241,SIN RIESGO
2015,Antioquia,Granada,25,10.241,0.73,7.04,0.804,12.72333333,,,,,,,11.21,,0.349333333,2.25,,,0.133666667,0.035,4,0,0,,,,,,,,,,,,,,,,,,,2.6092,2.6092,SIN RIESGO
2015,Antioquia,Guadalupe,28,11.64363636,1.414818182,6.564285714,1.378571429,6.0375,,,,,,,9.1275,,0.1975,2.0125,,,0.17375,,1.263,0,0,,,,,,,,,,,,,,,,,,,2.736428,2.736428,SIN RIESGO
2015,Antioquia,Guarne,28,3.709111111,0.35,6.996428571,0.778571429,14.93666667,,,,,,,19.8,,0.18,37.50333333,,,0.195666667,0.037,4,0,0,,,,,,,,,,,,,,,,,,,0.911428,0.911428,SIN RIESGO
2015,Antioquia,Guatape,26,5.594,0.436,6.596153846,1.215384615,,,,,,,,,,,,,,,0.035,4,5.269230769,3.115384615,,,,,,,,,,,,,,,,,,,6.692692,6.692692,BAJO
2015,Antioquia,Heliconia,25,4.444444444,1.020375,7.84,1.24,,,,,,,,,,,,,,,,,0.04,0,,,,,,,,,,,,,,,,,,,1.0616,1.0616,SIN RIESGO
2015,Antioquia,Hispania,27,4.777777778,0.3836,6.921481481,1.12962963,,,,,,,,,,,,,,,0.01,1.32,0.074074074,0,,,,,,,,,,,,,,,,,,,0.716666,0.716666,SIN RIESGO
2015,Antioquia,Itagui,98,1.758823529,0.31372549,6.568096154,0.578762887,22.10566038,4.130769231,0.089596154,0.055326923,0.014980769,3.068938776,0.309,44.07692308,6.115384615,0.108269231,14.71576923,3.671538462,0.023826923,0.029346154,0.084942308,4.265192308,1.483333333,0.020618557,,,,,,,,,,,,,,0,0,,,0,1.371224,1.371224,SIN RIESGO
2015,Antioquia,Ituango,37,12.143,3.66125,7.302702703,0.902857143,59.2,,,,,,,53.762,,0.055,1.356,,,0.2116,0.047,0.7515,1448.166667,35.97222222,,,,,,,,,,,,,,,,,,,22.655675,22.655675,MEDIO
2015,Antioquia,Jardín,26,5.3,0.85,7.263461538,0.853076923,,,,,,,,,,,,,,,0.017,1.27,2.961538462,0,,,,,,,,,,,,,,,,,,,2.472692,2.472692,SIN RIESGO
2015,Antioquia,Jericó,25,4,0.402,7.2028,1.252,,,,,,,,,,,,,,,0.01,1.14,0.88,0,,,,,,,,,,,,,,,,,,,1.0616,1.0616,SIN RIESGO
2015,Antioquia,La Ceja,106,6.45634,0.628235294,6.888207547,1.248113208,11.878,,,,,,,16.7,,0.2344,4.846,,,0.241,0.038666667,4,0.257142857,0,,,,,,,,,,,,,,,,,,,0.660754,0.660754,SIN RIESGO
2015,Antioquia,La Estrella,21,2.219047619,0.434761905,7.028571429,0.90952381,,,,,,,,,,,,,,,,,1.142857143,0,,,,,,,,,,,,,,,,,,21.9047619,4.607142,4.607142,SIN RIESGO
2015,Antioquia,La Pintada,52,5.055555556,0.768,7.542115385,1.032692308,,,,,,,,,,,,,,,0.0425,1,10.13461538,4.519230769,,,,,,,,,,,,,,,,,,,13.030961,13.030961,BAJO
2015,Antioquia,La Unión,25,3.618125,0.23125,6.6,1.068,,,,,,,,,,,,,,,0.035,4,96.8,51.988,,,,,,,,,,,,,,,,,,,2.8316,2.8316,SIN RIESGO
2015,Antioquia,Liborina,24,5.125,0.39325,7.4375,1.058333333,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,0,0,SIN RIESGO
2015,Antioquia,Maceo,27,7.153888889,1.168111111,6.508,1.016,,,,,,,,,,,,,,,,0.763,4.814814815,0.703703704,,,,,,,,,,,,,,,,,,,8.334814,8.334814,BAJO
2015,Antioquia,Marinilla,76,5.092972973,0.283333333,6.863157895,0.921052632,16.355,,,,,,,17.4625,,0.13425,7.4625,,,0.151,,,0,0,,,,,,,,,,,,,,,,,,,1.194078,1.194078,SIN RIESGO
2015,Antioquia,Santo Domingo,28,32.00421053,3.22405,6.798928571,1.355555556,,,,,,,,,,,,,,,,0.909,0,0,,,,,,,,,,,,,,,,,,,2.211428,2.211428,SIN RIESGO
2015,Antioquia,Segovia,52,21.20583333,2.414375,6.726923077,1.333333333,9.5,,,,,,,15.8,,0.03,2.47,,,0.27,0.009,1.189,125.0961538,0.576923077,,,,,,,,,,,,,,,,,,,6.432307,6.432307,BAJO
2015,Antioquia,Medellín,1229,6.29180261,0.424127243,7.31932137,1.109690554,53.85714286,6.917285714,0.306285714,0.054153846,0.05,4.527285714,0.1,33.06538418,7.104880098,0.083501631,6.145281403,1.640789216,0.09,0.057781609,0.04,0.661,0.0125,0.002676182,0.01,0.01,0.025,0.001,0.01,0.1,0.01,0.001,0.0078,0.007416667,0.01,0.009,0.002,0,0,0,,39.05,1.424792,1.424792,SIN RIESGO
2015,Antioquia,Montebello,27,6.5,0.498111111,6.925925926,1.511111111,,,,,,,,,,,,,,,0.01,1.56,3.037037037,0.592592593,,,,,,,,,,,,,,,,,,,3.897777,3.897777,SIN RIESGO
2015,Antioquia,Mutatá,48,3.266666667,0.941176471,7.441666667,1.44625,83.98571429,,,,,,,97.85142857,,0.154285714,48.28666667,,,0.07,,1.33,5.416666667,0,,,,,,,,,,,,,,,,,,,1.473333,1.473333,SIN RIESGO
2015,Antioquia,Nariño,50,9.654777778,1.011111111,7.756,0.180952381,,,,,,,,,,,,,,,0.035,4,150.86,74.226,,,,,,,,,,,,,,,,,,,61.097,61.097,ALTO
2015,Antioquia,Nechí,12,5,0.359666667,6.895833333,1.191666667,,,,,,,,,,,,,,,,,4.166666667,0,,,,,0.049,,,0.001,,,,,,,,,,,1.6125,1.6125,SIN RIESGO
2015,Antioquia,Necoclí,31,10.81333333,1.5525,6.703333333,1.238709677,21.965,,,,,,,40.88,,0.12,41.155,,,0.2,0,7.92,8.064516129,0.064516129,,,,,,,,,,,,,,,,,,,4.137741,4.137741,SIN RIESGO
2015,Antioquia,Olaya,47,4.733333333,0.962333333,7.957446809,1.20212766,,,,,,,,,,,,,,,,,0.936170213,0,,,,,,,,,,,,,,,,,,,3.082127,3.082127,SIN RIESGO
2015,Antioquia,Peñol,23,4.906142857,0.1975,6.991304348,0.930434783,11.125,,,,,,,12.015,,0.217,8.31,,,0.117,0.035,4,0.391304348,0,,,,,,,,,,,,,,,,,,,1.153913,1.153913,SIN RIESGO
2015,Antioquia,Peque,18,10,0.924333333,8,1.038888889,,,,,,,,,,,,,,,,,9.722222222,0.166666667,,,,,,,,,,,,,,,,,,,15.37,15.37,MEDIO
2015,Antioquia,Pueblorrico,28,5.555555556,1.249875,6.95,1.05,,,,,,,,,,,,,,,0.01,1.35,0,0,,,,,,,,,,,,,,,,,,,1.348214,1.348214,SIN RIESGO
2015,Antioquia,Puerto Berrío,44,6.644782609,1.726777778,7,1.095348837,40.2,,,,,,,51.7,,0.03,8.99,,,0.12,0.065,1.428,0.431818182,0,,,,,0.024,,,0.0001,,,,,,,,,,,2.979772,2.979772,SIN RIESGO
2015,Antioquia,Puerto Nare,74,6.59816,0.772083333,7.272972973,1.167972973,,,,,,,,,,,,,,,,,1.013513514,0,,,,,,,,,,,,,,,,,,,1.09081,1.09081,SIN RIESGO
2015,Antioquia,Puerto Triunfo,90,10.77133333,0.908064516,7.134482759,1.149425287,,,,,,,,,,,,,,,0.039,3.995,12.14444444,3.488888889,,,,,,,,,,,,,,,,,,,9.510222,9.510222,BAJO
2015,Antioquia,Remedios,31,13.2225,2.868666667,6.516129032,1.05483871,,,,,,,,,,,,,,,,0.867,0.034482759,0,,,,,0.023,,,0.0001,,,,,,,,,,0,5.111612,5.111612,BAJO
2015,Antioquia,Retiro,50,5.045611111,0.263333333,6.942,1.287755102,11.78833333,,,,,,,14.46333333,,0.115,5.34,,,0.158,0.0415,4,1.4,0,,,,,,,,,,,,,,,,,,,1.2868,1.2868,SIN RIESGO
2015,Antioquia,Rionegro,52,12.05096667,0.313666667,6.911960784,1.070588235,17.18666667,,,,,,,21.58333333,,0.135,10.36,,0.003,0.096666667,0.039,4,0,0,,,,,,,,,,,,,,,,,,,1.391923,1.391923,SIN RIESGO
2015,Antioquia,Sabanalarga,21,8.571428571,0.346714286,7.008571429,1.014285714,,,,,,,,,,,,,,,,,0.285714286,0,,,,,,,,,,,,,,,,,,,1.842857,1.842857,SIN RIESGO
2015,Antioquia,Sabaneta,7,2.928571429,0.237142857,7.285714286,1.1,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,4.333333333,0,0,SIN RIESGO
2015,Antioquia,Salgar,49,5.611111111,1.559875,7.125306122,1.481632653,,,,,,,,,,,,,,,0.1655,1.055,0.040816327,0,,,,,,,,,,,,,,,,,,,3.433265,3.433265,SIN RIESGO
2015,Antioquia,San Andrés De Cuerquía,26,5.091,0.9877,7.5,1.116153846,49.8,,,,,,,25.48666667,38.6,0.05975,2.505,,,0.4525,,1.462,0,0,,,,,,,,,,,,,,,,,,,1.628076,1.628076,SIN RIESGO
2015,Antioquia,San Carlos,26,6.181111111,0.52,6.861538462,0.938461538,,,,,,,,,,,,,,,0.035,4.575,0,0,,,,,,,,,,,,,,,,,,,0.101923,0.101923,SIN RIESGO
2015,Antioquia,San Francisco,26,10.83088889,1.243333333,6.923076923,0.888,,,,,,,,,,,,,,,0.073,4,3.2,0.56,,,,,,,,,,,,,,,,,,,4.941153,4.941153,SIN RIESGO
2015,Antioquia,San Jerónimo,25,4.777777778,0.247111111,7.04,1.232,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,0,0,SIN RIESGO
2015,Antioquia,San José De La Montaña,27,6.219,1.1862,6.588888889,1.192592593,11.3,,,,,,,11.36666667,,0.080666667,2.393333333,,,0.172,0.012,31.127,0,0,,,,,,,,,,,,,,,,,,,1.734814,1.734814,SIN RIESGO
2015,Antioquia,San Juan De Urabá,21,10.79,1.1925,7.473684211,0.473684211,170.865,,,,,,,257,,0.065,74.32,,,0.055,,5.74,173.1428571,22.52631579,,,,,,,,,,,,,,,,,,,47.629523,47.629523,ALTO
2015,Antioquia,San Luis,49,12.6825,1.279444444,6.978723404,1.380851064,,,,,,,,,,,,,,,0.035,4,8.081632653,1.632653061,,,,,,,,,,,,,,,,,,,9.938163,9.938163,BAJO
2015,Antioquia,San Pedro De Los Milagros,29,6.565555556,0.7533,6.748275862,1.162068966,18.4,,,,,,,22.1,,0.150666667,5.583333333,,,0.142666667,,1.949,0,0,,,,,,,,,,,,,,,,,,,0.729655,0.729655,SIN RIESGO
2015,Antioquia,San Pedro De Uraba,27,4.07,1.171428571,7.096296296,0.911111111,20.49,,,,,,,27.04,,0,15.22,,,0.26,,2.05,0,0,,,,,,,,,,,,,,,,,,,0.784074,0.784074,SIN RIESGO
2015,Antioquia,San Rafael,35,56.4545,5.986111111,7.066666667,0.688235294,,,,,,,,,,,,,,,0.0385,3.995,85.31428571,17.01142857,,,,,,,,,,,,,,,,,,,20.229714,20.229714,MEDIO
2015,Antioquia,San Roque,30,3.9725,0.8332,6.69,1.263333333,,,,,,,,,,,,,,,0.008,0.908,0.033333333,0,,,,,0.023,,,0.0001,,,,,,,,,,,2.852666,2.852666,SIN RIESGO
2015,Antioquia,San Vicente,28,2.9524,0.319,7,1.353571429,,,,,,,,,,,,,,,0.036,4,0,0,,,,,,,,,,,,,,,,,,,0,0,SIN RIESGO
2015,Antioquia,Santa Bárbara,26,4,0.265111111,7.261153846,1.1025,46.3,,,,,,,33,,0.049,1.49,,,0.197,0.012,1,0,0,,,,,,,,,,,,,,,,,,,0,0,SIN RIESGO
2015,Antioquia,Santa Rosa De Osos,30,10.70777778,0.950545455,7.03,1.323333333,6.7725,,,,,,,6.84,,0.142,4.9225,,,0.25675,,1.189,0,0,,,,,,,,,,,,,,,,,,,1.433333,1.433333,SIN RIESGO
2015,Antioquia,Santafé De Antioquia,25,4.125,0.4825,7.598,1.184,73.36666667,,,,,,,92.13333333,,0.063,7.82,,,0.122333333,,,0,0,,,,,0.05,,,0.001857143,,,,,,,,,,,4,0,SIN RIESGO
2015,Antioquia,Sonson,27,3.288,0.23875,7.092592593,1.523076923,11.50333333,,,,,,,8.616666667,,0.133333333,3.076666667,,,0.162666667,0.035,4,3.076923077,0.923076923,,,,,,,,,,,,,,,,,,,2.752222,2.752222,SIN RIESGO
2015,Antioquia,Sopetrán,23,4.4,0.421380952,6.921304348,1.104347826,10.85,,,,,,,19.7,,0.1285,7.16,,,0.109,,,0,0,,,,,,,,,,,,,,,,,,,0,0,SIN RIESGO
2015,Antioquia,Támesis,25,6.111111111,0.763666667,6.7132,0.984,,,,,,,,,,,,,,,0.011,1,6.44,0,,,,,,,,,,,,,,,,,,,3.1852,3.1852,SIN RIESGO
2015,Antioquia,Tarazá,13,6,0.508,6.859230769,1.162307692,8.125,,,,,,,11,,0.1145,1.625,,,0.138,,,0.615384615,0,,,,,0.0495,,,0.00005,,,,,,,,,,,1.488461,1.488461,SIN RIESGO
2015,Antioquia,Tarso,28,5,0.69075,6.994642857,1.417857143,,,,,,,,,,,,,,,0.009,1.22,0.678571429,0,,,,,,,,,,,,,,,,,,,3.412857,3.412857,SIN RIESGO
2015,Antioquia,Titiribí,52,5.052631579,0.5705,7.074117647,1.398076923,,,,,,,,,,,,,,,0.042,1.72,1.615384615,0,,,,,,,,,,,,,,,,,,,5.290769,5.290769,BAJO
2015,Antioquia,Toledo,24,12.341,1.1653,7.104166667,0.525,12.11666667,,,,,,,11.86666667,,0.124,0.575333333,,,0.221333333,,2.57,0,0,,,,,,,,,,,,,,,,,,,11.015833,11.015833,BAJO
